user_id,products,reviews
301939,235,1
314437,850,1
320776,155,1
324604,661,4
327790,270,3
328325,66,1
334163,1017,2
342229,887,1
349371,175,49
355654,189,2
362629,447,3
369466,221,1
378353,123,3
387118,68,1
390526,487,7
391782,682,16
398759,238,1
401561,54,2
410471,1653,5
412423,248,1
413590,137,4
415633,374,1
421887,245,2
427385,986,8
432604,139,1
455700,1490,1
456131,627,2
457490,2198,10
469053,398,20
472828,500,4
479493,359,3
485846,278,3
487051,16,1
488914,1056,3
493081,134,1
502846,118,1
503518,24,1
506848,89,2
510978,302,1
519347,20,1
528731,275,1
529639,25,1
531002,323,1
538111,23,2
539492,276,7
542011,612,1
548337,402,6
556722,470,1
575470,316,1
576351,143,1
583094,268,1
587710,537,3
588194,1469,29
599683,142,1
600204,81,3
601562,122,4
624076,371,1
624253,461,3
627607,29,1
630526,81,1
643426,508,4
651844,3596,1
664012,10113,3
666479,627,10
669107,64,1
671410,5357,4
671984,373,6
673343,240,3
674728,55,4
679448,111,2
683776,64,1
691836,311,1
691932,77,1
696571,599,1
705145,118,1
729332,208,1
729893,1173,6
730233,302,1
731756,241,5
732100,195,1
742455,244,2
760339,478,1
762522,249,1
764064,106,8
766261,454,0
771466,538,16
784480,115,1
784707,334,3
788824,735,1
793311,226,4
800662,163,2
807973,282,2
808596,477,2
838392,180,3
845996,144,3
846586,496,1
877707,57,1
893822,88,4
896573,62,5
905805,85,2
919936,187,36
924551,1328,5
928484,1061,7
940482,43,1
942940,88,14
945286,259,1
948671,157,1
950806,23,1
952398,289,1
963535,354,7
970413,686,2
976652,120,1
977448,448,2
979497,3137,23
986063,676,1
994171,136,3
996369,396,1
1000893,476,4
1013360,225,8
1016335,53,2
1024064,276,2
1028255,42,1
1030856,503,2
1032617,184,3
1042079,81,1
1042093,628,4
1043594,505,4
1058325,285,1
1081007,86,2
1090199,68,2
1092677,285,2
1096128,374,14
1100908,83,1
1105943,158,5
1107176,288,1
1107196,104,1
1120089,30,1
1142205,563,3
1162640,61,4
1168388,363,2
1182800,146,1
1189343,999,25
1203891,73,3
1223926,210,1
1234495,123,1
1241325,944,3
1242338,37,1
1247976,88,4
1249259,129,3
1249396,3316,14
1256732,1068,4
1277777,1191,13
1278494,29,1
1290734,46,1
1303050,42,2
1304136,92,2
1305398,259,1
1315007,1213,60
1320152,212,1
1320748,1569,3
1324363,92,3
1337692,496,3
1352270,302,1
1358168,245,1
1367589,395,1
1371462,97,1
1377291,189,1
1381546,488,1
1384019,540,1
1388847,191,3
1397376,173,1
1405273,10,1
1408128,184,1
1408267,464,1
1413234,63,1
1414561,275,3
1414756,25,1
1445775,78,2
1447324,264,10
1469944,126,14
1478235,910,5
1493783,135,2
1503280,210,1
1505050,99,1
1507256,273,8
1507359,205,1
1509131,126,2
1522237,229,2
1547154,169,2
1554893,250,6
1569405,803,2
1571074,514,15
1582885,178,3
1583778,102,3
1588508,119,1
1597493,196,2
1600580,98,4
1603532,69,2
1626334,35,1
1635698,259,3
1658666,172,1
1663136,486,8
1669901,316,3
1692907,18,2
1696494,46,1
1697769,289,1
1709616,352,9
1736836,426,1
1744416,161,1
1745217,362,2
1774714,376,1
1784468,319,8
1800433,60,1
1826579,878,13
1827747,257,2
1829327,266,1
1847635,146,10
1849737,168,7
1858173,138,3
1861671,895,6
1903856,580,1
1908587,508,6
1920901,109,2
1935211,325,2
1957348,307,5
1993273,225,1
1996812,613,1
2064930,136,15
2072641,644,1
2077524,54,4
2086137,137,1
2087256,1842,1
2088823,1021,1
2098215,250,1
2107686,249,1
2108365,267,1
2148746,27,1
2167632,569,2
2168233,500,1
2172258,229,3
2207360,675,3
2223480,58,1
2224194,99,5
2225343,126,2
2229898,505,2
2236996,714,6
2250409,330,50
2255405,475,3
2267214,8,1
2276233,368,4
2306794,63,1
2316267,109,5
2331149,152,1
2343055,166,2
2356656,443,15
2367335,147,1
2371042,130,4
2396052,91,1
2410257,320,6
2436202,43,6
2461709,26,4
2469961,57,2
2488096,72,1
2529827,3304,15
2532133,45,1
2548440,184,1
2549088,622,1
2592093,1543,2
2631820,683,16
2646242,281,1
2652532,335,1
2655020,5,1
2656165,187,8
2665049,72,2
2670201,287,1
2671971,413,2
2674262,895,2
2676479,100,2
2688529,189,9
2695780,154,1
2704293,312,1
2710738,173,1
2721494,101,1
2722920,291,1
2745959,137,2
2758076,330,1
2771060,249,1
2781458,347,1
2787234,113,1
2802364,335,1
2805518,217,1
2811478,408,9
2823179,77,2
2829658,329,1
2852357,30,1
2859992,191,1
2864278,1274,1
2873365,180,2
2876706,106,3
2884544,330,5
2887191,198,2
2888467,71,4
2899550,52,6
2927305,274,1
2944241,422,3
2972502,102,2
3003178,279,6
3008469,70,1
3013732,397,1
3016262,49,1
